Genome,Gene
GCF_001473485.1_Salmonella_enterica_CVM_43775_v1.0_genomic,2
GCF_001473795.1_Salmonella_enterica_CVM_43823_v1.0_genomic,2
GCF_001475225.1_Salmonella_enterica_CVM_43820_v1.0_genomic,2
GCF_001473305.1_Salmonella_enterica_CVM_43756_v1.0_genomic,1
GCF_001473555.1_Salmonella_enterica_CVM_43784_v1.0_genomic,1
GCF_001474245.1_Salmonella_enterica_CVM_43764_v1.0_genomic,1
GCF_001474655.1_Salmonella_enterica_CVM_43796_v1.0_genomic,1
GCF_001474745.1_Salmonella_enterica_CVM_43803_v1.0_genomic,1
GCF_001474965.1_Salmonella_enterica_CVM_43827_v1.0_genomic,1
GCF_001474925.1_Salmonella_enterica_CVM_43825_v1.0_genomic,1
